N,1/2+,****,939,0
N(1440),1/2+,****,1440,350
N(1520),3/2-,****,1520,120
N(1535),1/2-,****,1535,150
N(1650),1/2-,****,1650,150
N(1675),5/2-,****,1675,150
N(1680),5/2+,****,1680,130
N(1700),3/2-,***,1700,100
N(1710),1/2+,****,1710,100
N(1720),3/2+,****,1720,150
N(1900),3/2+,**,1900,500
N(1990),7/2+,**,1990,300
N(2000),5/2+,**,2000,150
N(2080),3/2-,**,2080,300
N(2090),1/2-,*,2090,350
N(2100),1/2+,*,2100,250
N(2190),7/2-,****,2190,450
N(2220),9/2+,****,2250,400
N(2250),9/2-,****,2250,400
N(2600),11/2-,***,2600,650
N(2700),13/2+,**,2700,350